Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,promoted
56,MSC,99,9,10,4,70.84,1
29,BBA,63,18,1,12,59.79,0
39,BBA,83,17,2,6,64.15,0
34,MBA,52,17,1,17,68.91,1
48,BSC,99,0,6,29,84.18,1
37,PhD,31,14,0,28,68.96,0
63,MSC,43,6,12,27,70.62,1
64,B.Tech,11,3,13,6,94.17,1
24,MSC,60,2,0,1,58.98,0
54,BBA,69,2,12,26,76.76,1
53,BBA,77,3,3,29,64.81,1
46,MSC,59,9,13,9,72.09,1
59,B.Tech,48,19,0,24,83.48,0
35,BBA,14,19,13,22,79.35,0
52,MSC,67,12,0,19,98.98,1
38,BSC,23,19,10,13,65.51,0
52,PhD,90,10,4,27,52.08,1
35,BSC,54,5,6,16,52.73,1
39,PhD,54,18,2,24,97.62,1
41,MBA,23,18,1,22,87.23,0
64,MSC,94,14,11,12,61.08,1
34,MSC,92,7,1,9,71.75,1
43,M.Tech,75,15,14,17,71.21,1
52,B.Tech,9,0,2,6,50.96,0
28,BSC,93,17,1,8,78.77,1
31,M.Tech,17,3,4,19,61.12,0
42,MSC,29,13,14,18,72.94,0
45,M.Tech,62,10,6,5,72.18,1
54,BBA,55,7,7,23,64.54,1
31,B.Tech,27,18,9,1,77.12,0
64,BBA,67,6,5,15,81.9,1
53,PhD,16,5,0,18,57.6,0
37,BSC,11,19,12,7,52.91,0
38,PhD,86,0,5,9,78.52,1
41,M.Tech,75,3,2,18,84.76,1
64,BSC,77,2,8,16,65.48,1
23,MSC,69,19,8,7,83.38,1
50,MSC,47,8,3,3,93.04,1
28,MBA,29,1,12,4,86.18,0
60,BBA,29,18,6,20,98.8,1
29,BBA,27,3,0,28,87.18,1
58,MBA,64,11,0,24,71.79,1
22,PhD,13,3,8,7,72.47,0
40,BSC,42,18,14,2,62.85,0
49,MSC,98,12,5,7,51.23,1
57,BSC,69,16,3,3,76.2,1
45,BBA,45,1,9,12,81.95,1
33,BSC,36,11,9,12,61.75,0
48,M.Tech,12,13,3,3,95.14,0
31,PhD,30,14,6,15,86.13,0
40,M.Tech,56,10,14,7,59.33,0
35,PhD,28,12,8,20,87.34,1
41,PhD,58,17,11,22,65.89,0
57,MSC,98,12,7,18,99.04,1
25,M.Tech,18,3,4,13,88.6,0
46,PhD,44,6,2,6,76.41,1
23,MSC,14,18,11,17,56.63,0
63,B.Tech,94,3,11,12,83.68,1
45,MSC,84,2,0,20,63.81,1
24,BBA,78,16,9,14,87.3,1
36,MSC,26,5,3,26,73.5,1
36,MSC,19,2,1,18,94.8,0
41,BSC,31,12,14,24,55.29,1
53,M.Tech,22,5,5,23,93.82,1
44,PhD,74,19,8,29,78.92,1
53,BBA,99,1,14,9,68.27,1
32,MBA,3,6,3,11,78.36,0
62,BSC,90,3,0,27,99.26,1
28,MSC,27,5,13,20,69.22,0
47,BBA,11,14,3,21,72.83,0
42,M.Tech,25,8,2,19,83.36,1
36,BSC,17,3,3,5,81.28,0
28,M.Tech,20,14,6,7,69.1,0
33,B.Tech,87,2,12,28,65.55,1
28,MBA,23,14,9,21,65.5,0
60,M.Tech,85,6,10,20,77.78,1
32,MBA,71,18,14,26,86.65,1
43,B.Tech,89,7,5,27,75.9,1
57,MSC,53,4,1,20,95.01,1
40,MBA,13,3,2,1,80.29,0
29,BBA,42,3,12,12,60.88,0
61,MSC,47,17,11,17,71.79,1
45,BSC,61,15,8,25,74.62,1
63,MSC,51,6,2,6,95.3,1
36,PhD,99,7,3,1,59.78,1
21,BSC,18,11,5,6,55.63,0
28,BBA,4,1,2,24,91.16,1
53,MBA,34,16,4,8,96.28,0
54,BBA,45,7,13,25,82.55,1
46,MBA,13,19,8,16,78.48,0
37,MSC,24,8,8,13,78.67,0
28,BBA,25,6,2,16,73.93,0
43,BSC,5,15,0,5,55.68,0
61,MSC,93,2,13,5,61.88,1
49,BBA,45,7,2,17,94.69,1
48,MSC,22,0,4,5,65.21,0
51,PhD,37,13,5,9,89.94,1
56,B.Tech,27,17,10,11,56.18,0
44,MSC,2,1,3,19,82.59,0
30,BSC,57,14,1,22,97.21,1
53,M.Tech,76,18,5,13,96.34,1
26,MBA,80,2,2,4,68.97,0
39,BSC,99,16,13,24,88.56,1
38,BSC,22,10,11,5,72.82,0
41,MSC,65,1,2,14,90.53,1
49,MSC,26,12,13,14,58.04,0
23,BBA,63,1,8,29,55.71,1
46,MSC,37,2,1,26,99.21,1
46,B.Tech,65,4,8,9,78.52,1
36,B.Tech,7,10,8,22,65.85,0
26,M.Tech,30,18,4,18,68.36,0
32,PhD,17,2,12,2,75.81,0
59,M.Tech,64,2,14,2,83.24,1
63,MSC,9,9,11,6,85.84,0
54,PhD,56,1,2,2,78.21,1
55,MBA,71,5,6,2,81.07,1
28,MBA,99,15,8,14,77.61,1
28,PhD,86,2,10,25,58.43,1
28,PhD,46,16,1,23,94.77,1
52,B.Tech,52,4,6,10,51.22,0
38,M.Tech,71,11,10,4,72.68,1
21,BBA,97,2,10,16,77.1,1
49,BSC,55,13,13,26,80.97,1
26,M.Tech,19,15,2,8,80.59,0
62,M.Tech,75,16,11,11,88.4,1
58,BSC,33,3,3,6,68.36,0
21,BBA,96,16,7,4,76.09,1
62,M.Tech,47,10,5,21,71.8,1
37,BSC,9,5,7,10,84.93,0
33,MSC,51,1,7,8,70.12,1
45,BBA,96,2,11,5,74.13,1
61,M.Tech,84,10,7,17,90,1
64,B.Tech,21,2,12,17,73.97,0
57,PhD,72,5,3,26,83.37,1
32,B.Tech,94,0,12,9,78.1,1
64,MSC,18,11,1,26,81.53,0
64,BSC,59,5,2,11,74.88,1
62,MSC,43,11,7,5,66.63,0
60,MBA,94,6,14,8,84.05,1
34,PhD,93,13,4,17,84.52,1
50,M.Tech,34,5,14,8,58.75,0
39,B.Tech,31,15,6,23,69.66,0
39,MSC,71,15,3,5,91.09,1
21,MBA,42,5,5,6,94.91,1
24,M.Tech,10,7,3,27,84.36,0
51,PhD,42,0,7,13,94.1,1
64,B.Tech,96,2,0,5,74.97,1
31,B.Tech,25,12,14,12,90.23,0
61,BBA,46,5,14,25,78.11,1
39,B.Tech,59,2,12,15,70.78,0
61,M.Tech,92,18,11,4,94.61,1
22,MSC,88,1,6,21,92.76,1
55,BBA,89,15,10,12,76.42,1
34,B.Tech,31,0,1,8,64.42,0
24,M.Tech,67,19,6,16,92.6,1
28,BSC,18,19,10,26,72.6,0
37,M.Tech,84,4,9,7,90.83,1
59,BSC,69,9,13,15,52.89,1
64,BSC,31,17,14,11,56.68,0
51,MBA,9,14,1,13,52.39,0
50,BSC,47,13,14,11,66.67,0
60,B.Tech,55,7,6,7,91.84,1
25,PhD,40,2,9,17,55,0
62,BBA,95,19,13,7,87.76,1
36,B.Tech,42,2,13,15,66.75,0
29,MSC,38,16,11,13,73.15,0
52,PhD,13,6,8,27,93.09,1
30,MBA,45,0,9,18,75.53,1
21,PhD,10,19,9,18,92.93,0
41,MBA,13,10,6,12,72.2,0
51,MSC,72,0,2,11,86.31,1
33,B.Tech,67,19,8,24,56.5,0
49,BSC,77,0,14,2,63.2,1
47,MBA,52,3,4,24,65.48,1
46,PhD,62,11,13,6,97.12,1
21,PhD,22,18,9,18,51.26,0
32,M.Tech,40,10,0,13,53.43,0
42,PhD,51,12,1,28,76.28,0
24,MSC,15,8,2,18,60.96,0
50,M.Tech,27,2,1,29,63.83,1
58,MSC,21,16,2,15,87.49,1
53,PhD,46,12,4,14,95.37,1
33,B.Tech,60,17,6,22,55.41,0
59,BSC,43,12,0,27,97.71,1
44,BBA,54,9,1,7,85.44,0
30,MBA,42,5,12,19,98.87,1
25,M.Tech,13,17,9,16,79.34,0
50,M.Tech,94,11,2,14,85.59,1
41,B.Tech,32,5,12,13,58.94,0
49,M.Tech,57,2,12,28,83.14,1
34,M.Tech,68,17,13,23,88.36,1
39,PhD,23,11,3,16,95.92,1
47,M.Tech,9,8,2,26,59.38,0
55,BBA,75,8,7,6,50.85,1
29,M.Tech,85,0,9,3,50.13,0
51,MBA,3,16,0,23,95.04,1
47,BBA,73,9,6,27,85.82,1
43,B.Tech,17,18,4,13,74.98,0
40,MBA,20,13,4,20,66.12,0
21,MBA,94,17,2,24,63.95,1
60,BSC,31,0,0,7,89.95,1
31,B.Tech,56,0,13,8,87.67,1
23,BSC,69,16,6,27,61.32,1
60,MBA,5,0,2,21,66.79,0
29,PhD,52,2,7,22,89.45,1
57,PhD,80,17,5,27,98.88,1
31,MBA,74,6,9,22,86.68,1
28,BSC,32,14,5,25,89.92,1
25,M.Tech,83,10,0,15,63.15,1
52,PhD,1,15,8,29,86.79,0
37,BBA,87,11,4,29,69.87,1
23,BSC,99,11,9,29,97.56,1
46,MBA,30,13,6,1,93.41,0
22,MSC,73,8,7,1,62.03,0
50,MSC,77,19,11,29,67.93,1
29,MBA,52,19,12,22,84.67,1
55,MSC,14,8,1,4,73.74,0
29,BBA,50,6,13,29,54.03,0
36,B.Tech,6,11,13,28,52.58,0
52,PhD,83,12,4,1,66.57,0
24,MSC,47,6,5,9,64.53,0
52,BSC,75,14,7,17,77.63,1
46,BSC,16,14,5,10,58.55,0
61,M.Tech,97,10,10,15,68.71,1
30,MBA,53,6,13,10,55.94,0
57,PhD,32,6,14,11,79.01,1
60,M.Tech,15,2,14,15,80.07,1
43,BSC,42,8,4,3,91.4,0
48,PhD,20,15,7,2,72.18,0
45,BBA,11,12,10,5,88.13,0
29,M.Tech,64,8,5,15,57.72,0
61,MSC,61,7,6,17,81.34,1
47,MBA,20,7,1,3,89.97,0
28,BSC,95,16,2,18,70.51,1
26,BSC,88,5,8,14,75.16,1
27,MSC,56,2,4,25,95.99,1
44,BSC,94,12,2,12,99.81,1
41,PhD,26,4,8,26,89.73,1
28,MSC,14,7,13,6,64.39,0
23,BBA,36,14,9,1,60.4,0
48,PhD,34,6,1,5,87.43,0
45,B.Tech,1,5,7,8,81.45,0
48,BBA,79,3,1,28,70.66,1
28,M.Tech,11,5,14,29,87,0
53,M.Tech,63,7,1,13,50.7,0
22,MBA,13,4,14,16,54.92,0
53,PhD,5,17,10,6,79.99,0
34,M.Tech,69,13,4,4,84.09,0
61,MBA,61,7,4,26,70.57,1
33,MBA,43,2,10,13,76.71,1
31,M.Tech,10,12,8,13,78.93,0
64,M.Tech,75,2,3,28,88.71,1
24,M.Tech,13,11,0,12,86.19,0
39,PhD,69,0,4,7,50.96,0
43,MBA,48,7,2,7,78.21,0
24,B.Tech,81,0,10,3,54.28,1
27,M.Tech,21,18,6,27,54.93,0
41,M.Tech,36,6,0,10,77.8,0
38,BBA,96,16,2,14,67.1,1
45,BBA,50,11,0,23,57.29,0
61,BBA,92,5,5,15,66.74,1
22,M.Tech,77,3,13,10,69.35,1
39,B.Tech,81,6,6,22,55.8,1
21,M.Tech,45,9,5,21,67.31,0
40,BSC,92,1,5,13,81.71,1
22,B.Tech,93,3,0,27,65.88,1
32,PhD,39,5,11,1,83.65,0
28,MSC,53,6,9,7,95.3,1
25,MBA,55,12,7,17,76.86,1
23,B.Tech,15,18,14,24,88.41,1
29,PhD,28,9,3,17,72.05,1
44,MSC,43,3,10,21,55.41,0
58,MBA,73,10,9,24,60.49,1
39,B.Tech,98,1,12,23,51.18,1
21,B.Tech,7,4,13,12,50.73,0
28,BSC,76,14,4,13,69.27,1
28,B.Tech,53,13,0,16,74.15,0
23,BSC,34,0,11,6,57.29,0
27,BBA,25,14,13,9,71.79,0
33,MSC,6,18,12,14,67.42,0
21,BSC,10,18,9,2,83.62,0
60,BBA,84,13,14,15,96.51,1
35,BBA,27,11,11,27,70.89,0
43,MSC,21,14,3,12,64.76,0
32,M.Tech,17,2,4,24,54.26,0
60,BBA,19,12,10,28,98.66,1
57,PhD,35,2,0,27,58.03,1
44,BBA,34,18,11,8,66.97,0
56,BSC,53,19,10,12,58.25,0
35,MSC,89,11,12,27,56.18,1
23,MSC,18,6,11,13,87.75,0
41,MBA,6,8,0,6,86.28,0
29,B.Tech,68,8,0,4,75.97,0
29,BBA,45,17,11,13,52.16,0
26,B.Tech,34,19,13,4,85.54,0
63,PhD,37,0,4,27,62.43,0
38,PhD,28,16,11,28,97.22,1
24,BBA,78,4,14,28,84.13,1
63,MSC,48,2,0,25,59.08,1
37,B.Tech,3,12,13,7,96.41,0
46,M.Tech,57,14,10,18,69.64,1
21,MBA,10,13,1,6,98.48,0
59,BSC,54,7,14,13,76.87,1
48,B.Tech,72,5,7,28,96.02,1
62,BSC,60,15,0,17,80.96,1
46,MBA,29,11,12,10,77.62,1
62,BBA,7,8,9,22,58.84,0
45,PhD,77,19,10,14,76.71,1
50,PhD,82,3,7,21,99.02,1
24,PhD,46,16,14,28,97.51,1
60,PhD,28,7,4,8,78.98,0
48,MSC,55,12,6,7,58.45,0
39,BBA,21,14,8,11,99.7,0
63,PhD,31,11,7,29,91.41,1
57,BSC,74,9,4,24,99.98,1
24,MBA,31,19,10,26,57.57,0
60,BBA,35,16,14,3,83.64,0
38,MBA,92,16,12,27,57.64,1
26,M.Tech,35,8,8,23,92.47,1
46,BSC,81,14,3,18,52.06,1
35,M.Tech,3,13,8,3,88.81,0
64,BSC,26,11,14,1,51.06,0
36,BSC,95,4,13,18,54.11,1
50,PhD,96,16,9,16,69.81,1
35,M.Tech,29,15,11,24,87.25,1
31,B.Tech,76,8,12,12,82.37,1
62,PhD,69,3,3,14,96.78,1
26,M.Tech,70,9,14,2,83.74,1
43,MSC,9,15,3,22,53.74,0
24,MBA,43,17,3,10,89.56,1
28,BSC,44,15,8,7,62.84,0
23,MSC,37,17,12,20,61.32,0
28,MBA,53,16,3,3,59.48,0
28,BSC,88,3,6,14,84.04,1
51,PhD,24,17,8,1,57.7,0
54,MSC,32,7,7,29,73.74,1
22,MBA,88,8,8,20,74.52,1
43,BBA,67,9,0,28,99.05,1
36,MBA,71,18,5,12,75.68,1
57,PhD,20,1,5,11,86.91,0
61,BSC,18,11,4,7,69.53,0
26,M.Tech,45,9,4,8,59.24,0
51,BBA,1,19,5,8,55.84,0
46,MSC,13,11,7,8,81.09,0
61,BSC,87,7,8,15,94.2,1
39,MSC,84,12,12,15,70.16,1
37,BBA,68,3,0,11,99.53,1
60,M.Tech,42,7,5,5,69.39,0
31,BBA,5,0,12,11,61.06,0
30,M.Tech,81,16,4,15,78.22,1
34,BBA,72,5,6,9,81.71,1
46,BBA,22,1,1,1,98.08,0
59,M.Tech,12,7,8,7,53.19,0
43,PhD,60,17,6,27,88.1,1
45,MBA,36,6,10,25,93.64,1
23,MSC,12,9,10,6,85.47,0
34,MBA,46,10,5,11,66.96,0
48,BBA,7,11,6,10,70.87,0
46,B.Tech,63,12,12,9,96.09,1
27,PhD,35,5,10,24,82.39,1
34,M.Tech,26,1,10,21,68.23,0
33,BBA,3,10,0,15,81.02,0
48,MBA,8,4,14,14,81.19,0
64,MBA,6,7,2,20,61.23,0
56,MBA,15,14,1,27,80.47,1
45,BBA,9,9,14,12,53.49,0
45,BSC,99,8,11,6,67.5,1
51,PhD,9,3,1,3,81.69,0
36,MSC,75,6,6,16,52.85,0
26,BSC,46,15,6,6,94.95,0
46,MBA,32,16,8,20,57.08,0
31,MBA,91,13,10,29,87.47,1
63,M.Tech,52,18,0,7,86.84,1
48,PhD,88,1,1,29,62.76,1
22,MBA,56,4,10,17,71.13,0
33,B.Tech,49,13,3,1,78.67,0
39,MSC,99,15,9,5,64.17,1
32,M.Tech,28,19,14,15,64.68,0
22,PhD,31,2,0,16,87.95,0
39,BSC,56,15,13,14,80.27,1
35,PhD,60,1,8,3,59.97,0
43,BSC,87,7,4,9,94.49,1
52,PhD,62,8,5,29,75.6,1
60,B.Tech,75,3,14,10,94.89,1
49,MSC,9,12,13,20,56.09,0
32,M.Tech,40,12,1,25,54.61,0
28,M.Tech,83,13,2,16,57.71,1
55,BSC,65,10,0,16,81.59,1
52,B.Tech,68,2,10,21,96.31,1
56,MSC,30,18,9,20,87.25,1
55,MBA,40,6,0,19,90.89,1
33,MBA,6,1,8,28,81.53,0
40,B.Tech,69,5,11,5,78.13,1
38,MBA,64,6,14,24,55.31,1
58,B.Tech,62,13,8,24,62.22,1
45,MBA,49,6,6,28,66.6,0
28,BBA,95,13,5,16,75.87,1
60,BSC,40,5,12,6,85.81,1
32,M.Tech,46,9,11,25,70.93,1
26,B.Tech,30,2,12,7,54.33,0
37,BBA,93,14,0,6,94.52,1
21,BSC,1,14,4,29,91.47,0
30,MBA,7,16,13,17,70.23,0
23,M.Tech,4,19,8,8,97.24,0
53,MBA,53,12,3,11,97.74,1
36,BBA,10,13,9,15,79.87,0
57,BSC,92,16,8,16,86.88,1
29,MSC,23,11,11,29,63.62,0
22,BBA,14,18,5,14,74.7,0
40,B.Tech,2,13,2,23,80.38,0
38,BSC,66,6,8,11,62.68,1
41,MBA,13,0,10,29,50.97,0
38,PhD,69,0,14,2,78.24,1
37,M.Tech,62,8,4,26,78.36,1
59,BBA,43,19,5,28,57.14,0
33,PhD,52,5,12,8,59.73,1
34,BBA,43,15,11,17,92.92,0
22,MBA,62,18,5,21,71.78,1
58,MSC,1,6,1,9,72.11,0
45,MBA,51,1,2,29,66.56,1
24,M.Tech,80,2,12,14,52.7,1
63,BSC,60,0,6,10,96.2,1
58,PhD,4,11,7,21,57.39,0
23,B.Tech,69,14,6,22,78.02,1
59,BBA,24,1,5,4,51.79,0
62,MBA,57,9,14,25,70.79,1
63,B.Tech,46,5,8,11,82.6,0
62,MSC,98,18,1,19,58.51,1
35,MSC,72,17,2,12,85.07,1
27,PhD,19,2,14,4,97.06,1
24,B.Tech,47,4,7,9,69.54,1
31,M.Tech,41,0,13,18,93.91,1
63,MBA,96,4,14,3,72.8,1
32,MBA,91,18,12,27,93.81,1
44,B.Tech,14,1,2,14,97.66,0
29,BSC,65,15,12,28,85.34,1
52,BBA,5,15,14,28,57.04,0
33,M.Tech,46,5,7,11,92.5,1
56,M.Tech,29,6,6,11,90.23,0
34,BBA,8,10,8,18,81.25,0
29,PhD,36,19,9,24,70.41,0
50,B.Tech,94,18,2,28,62.13,1
64,M.Tech,47,12,11,12,95.2,1
43,M.Tech,85,14,1,5,71.11,0
49,BBA,66,11,9,25,64.82,1
44,MBA,37,2,2,1,52.73,0
62,MSC,97,6,10,12,94.28,1
37,BSC,80,5,14,13,65.6,1
29,MSC,25,10,5,4,80.6,0
27,MBA,12,13,4,4,68.93,0
59,PhD,45,9,1,25,84.03,1
50,MBA,3,8,14,8,89.56,0
45,BSC,2,7,10,19,85.14,0
49,M.Tech,1,14,2,27,84.37,0
56,MSC,78,5,10,4,94.28,1
35,MSC,21,14,14,3,86.33,0
43,BSC,5,6,3,25,93.9,0
55,BBA,55,2,2,20,80.44,1
57,MBA,28,18,14,28,81.79,1
22,B.Tech,37,4,6,6,66.4,0
27,MSC,57,12,3,10,98.42,1
27,BBA,46,5,6,14,52.91,0
60,M.Tech,34,18,9,14,87.63,1
43,MSC,47,19,13,17,97.94,1
46,MSC,7,11,2,18,53.73,0
43,PhD,98,3,0,2,85.83,1
34,PhD,3,16,13,24,89.19,1
42,PhD,9,2,8,15,64.16,0
64,B.Tech,82,1,0,16,51.59,1
40,M.Tech,42,9,3,27,73.48,0
24,PhD,53,10,5,24,89.06,1
39,BBA,36,17,5,29,89.29,1
41,BBA,22,15,4,23,74.29,1
64,B.Tech,80,17,2,8,65.23,0
35,BBA,9,18,6,17,69.03,0
22,MSC,61,16,7,9,69.4,0
25,B.Tech,82,12,9,3,82.61,1
64,BBA,93,14,10,7,98.37,1
60,BSC,52,19,0,24,51.43,1
42,MBA,80,17,13,19,58.05,1
31,M.Tech,2,8,11,8,73.42,0
57,B.Tech,3,18,4,20,87.28,0
50,BBA,55,3,4,15,74.48,0
23,BSC,94,10,6,13,70.65,1
34,BSC,13,10,0,13,70.62,0
29,BSC,2,18,2,9,57.32,0
61,BBA,84,15,13,29,89.7,1
37,MBA,69,19,2,12,68.19,1
32,PhD,43,9,11,3,80.63,0
51,M.Tech,6,12,1,27,53.72,0
55,MSC,14,18,14,23,55.54,0
48,M.Tech,5,1,5,20,59.69,0
30,M.Tech,87,8,1,24,73.65,1
49,MBA,90,7,7,20,58.93,1
59,B.Tech,13,7,8,28,69.01,0
58,BBA,82,18,12,16,79.75,1
48,PhD,84,12,2,27,93.09,1
39,PhD,54,7,1,3,90.72,0
54,MBA,9,2,6,4,53.39,0
40,B.Tech,65,3,4,3,96.54,1
33,PhD,13,10,10,14,94.38,0
61,MBA,84,6,10,2,90.21,1
33,MSC,89,3,8,14,94.69,1
47,MBA,80,6,2,12,55.51,1
25,BSC,77,5,11,6,87.98,1
22,PhD,83,14,3,2,57.57,1
51,BBA,34,15,6,6,99.27,0
46,PhD,36,10,8,24,91.17,1
51,BBA,30,5,12,3,85.5,0
49,BBA,21,16,3,9,98.5,0
60,PhD,62,12,6,1,56.27,1
59,MBA,8,4,13,12,92.79,0
22,B.Tech,8,2,6,9,90.21,0
32,MSC,67,13,5,8,86.14,1
62,MBA,76,12,2,29,57.26,1
46,BBA,21,5,9,22,74.23,0
56,MBA,30,1,5,14,95.58,1
25,M.Tech,41,0,14,27,58.98,0
38,BSC,3,9,11,15,74.82,0
26,MBA,92,15,7,24,57.72,1
43,BBA,43,1,14,14,69.27,0
35,PhD,73,19,5,26,61.57,0
38,B.Tech,33,15,0,2,68.82,0
45,B.Tech,45,18,2,2,75.36,0
30,BSC,69,5,11,5,60.55,1
54,BBA,78,11,14,27,65.98,1
59,MBA,72,16,2,14,55.95,1
35,MSC,98,1,2,1,99.06,1
52,MBA,14,4,8,9,95.31,0
42,PhD,51,12,9,17,91.34,1
31,M.Tech,79,5,1,26,80.74,1
30,B.Tech,77,5,9,15,53.11,1
24,B.Tech,46,4,1,19,81.55,1
28,PhD,22,10,0,8,64.09,0
30,PhD,73,13,3,6,77.8,1
45,MSC,52,1,2,21,73.05,1
21,BBA,39,16,9,22,78.49,1
30,BBA,50,10,3,6,97.03,1
41,BBA,77,9,4,10,56.23,0
38,B.Tech,57,16,3,20,94.04,1
21,PhD,87,13,6,22,79.75,1
56,BSC,66,19,11,26,87.83,1
49,BSC,84,3,3,19,76.85,1
40,BBA,68,15,11,29,58.02,1
39,PhD,87,5,13,13,57.78,1
56,MSC,48,12,6,18,50.06,1
56,MBA,2,1,8,17,89.17,0
24,B.Tech,80,19,12,1,87.63,1
42,B.Tech,58,12,2,25,89.8,1
56,M.Tech,82,9,4,27,92.43,1
41,MSC,7,9,14,25,63.86,0
63,MBA,10,0,4,16,95.73,0
49,M.Tech,11,4,0,25,65.02,0
28,BSC,56,0,14,3,84.62,1
54,MSC,3,5,4,7,65.41,0
62,PhD,56,18,1,16,52.31,0
31,MSC,62,5,6,14,53.58,0
42,MBA,88,4,2,1,82.27,1
25,M.Tech,26,14,13,28,71.75,0
48,BSC,41,13,11,26,58.31,0
47,BBA,22,14,11,3,90.17,1
40,BSC,16,17,14,17,54.87,0
22,M.Tech,1,19,10,26,58.68,0
47,M.Tech,68,17,6,26,67.69,1
38,MBA,12,0,8,12,63.97,0
53,BSC,73,17,9,7,72.27,0
23,B.Tech,82,2,14,12,85.43,1
36,MBA,43,19,10,8,64,0
38,BSC,74,1,8,28,67.58,1
30,BBA,35,9,6,22,71.37,0
26,MSC,91,19,6,10,59.2,1
57,BBA,64,13,8,24,91.69,1
58,B.Tech,75,12,3,6,60.54,1
64,PhD,86,3,2,7,78.26,1
63,MSC,65,0,5,27,88.16,1
56,MSC,34,9,12,28,85.9,1
21,BSC,37,10,10,6,78.2,0
60,B.Tech,35,8,10,4,93.92,0
29,MBA,42,19,9,1,72.22,0
52,BBA,72,14,2,1,58.87,1
61,BBA,89,11,6,14,98.27,1
42,BBA,46,1,9,27,74.84,1
21,MBA,99,13,8,13,56.81,1
30,BBA,65,2,7,2,62.85,0
57,BSC,85,18,11,4,59.43,0
31,MSC,27,16,5,28,61.03,0
23,BSC,20,15,11,14,86.42,1
43,MSC,6,10,10,28,76.88,0
40,BSC,84,3,9,3,82.39,1
37,PhD,80,18,9,6,87.47,1
40,MBA,90,9,12,2,72.4,1
62,BBA,51,0,11,29,66.76,1
38,MBA,15,12,2,13,80.46,0
42,BBA,59,0,2,8,96.55,1
39,BBA,20,5,4,26,59.33,0
26,PhD,55,5,9,2,76.51,1
62,MBA,55,13,10,2,69.67,0
47,BBA,61,5,7,25,90.14,1
39,B.Tech,12,5,10,26,69.28,0
36,B.Tech,4,8,13,11,94.82,0
21,PhD,61,14,12,4,88.86,1
32,BSC,54,1,13,13,98.03,1
26,PhD,37,5,9,15,58.77,1
64,MSC,2,14,6,18,53.14,0
51,MBA,32,10,10,3,96.59,0
43,MSC,44,9,11,21,53.56,1
50,MBA,35,13,12,12,77.53,1
61,BSC,32,0,10,15,75.01,1
60,M.Tech,80,6,1,8,51.42,1
30,PhD,67,2,14,6,92.72,1
44,BBA,87,14,13,20,95.45,1
25,BBA,35,6,11,7,99.94,1
35,MSC,16,13,6,3,99.05,0
26,MBA,45,9,11,21,75.27,1
35,BSC,80,19,2,7,84.11,1
64,BBA,15,9,12,12,97.37,1
64,BBA,94,16,1,9,64.35,1
34,MBA,21,13,10,26,73.41,0
48,BBA,58,10,12,22,66.01,1
22,M.Tech,64,12,11,1,56.99,0
35,B.Tech,37,19,10,22,87.96,0
37,B.Tech,93,0,4,23,83.51,1
49,B.Tech,48,12,0,3,94.16,1
41,BBA,67,19,9,14,68.9,1
64,M.Tech,96,11,6,27,64.74,1
63,M.Tech,14,4,12,23,68.1,1
27,BBA,51,3,0,6,90.51,1
24,M.Tech,81,11,13,28,53.04,1
63,PhD,79,6,3,11,88.68,1
52,B.Tech,18,8,8,12,88.01,0
51,MSC,5,8,14,1,93.26,0
32,M.Tech,4,19,8,5,81.1,0
39,BBA,64,10,9,19,77.03,1
30,MSC,62,12,5,15,86.05,0
21,MBA,31,3,9,17,54.96,0
41,BSC,63,18,11,24,54.14,1
49,B.Tech,87,18,5,28,55.38,1
52,BSC,77,3,0,4,84.19,1
37,BBA,51,15,6,5,81.58,0
36,M.Tech,70,6,3,16,59.19,1
22,M.Tech,40,8,11,11,97.87,0
62,B.Tech,86,1,14,21,91.62,1
24,MSC,32,3,5,23,75.27,1
31,MSC,40,2,7,3,93.23,0
28,B.Tech,56,15,3,16,67.07,0
35,M.Tech,19,9,12,10,57.52,0
44,BBA,6,15,10,3,96.18,0
35,BSC,81,17,13,23,87.25,1
23,MSC,88,0,11,29,99.97,1
43,B.Tech,21,7,8,9,65.25,0
28,MBA,50,8,2,19,56.69,0
47,MSC,20,3,10,6,80.72,0
34,M.Tech,45,14,6,6,87.48,1
49,PhD,29,12,11,8,91.3,1
22,BBA,61,10,2,2,81.39,0
50,PhD,95,7,10,5,52.18,1
55,BBA,82,2,11,22,74.91,1
40,M.Tech,17,12,2,4,55.35,0
31,BBA,9,3,13,12,90.55,0
48,M.Tech,60,0,7,29,69.66,1
33,B.Tech,8,11,3,26,77.09,0
41,M.Tech,60,5,9,18,87.65,1
62,MSC,57,13,13,12,77.04,0
39,MBA,26,8,6,11,63.42,0
39,MBA,68,3,11,21,92.03,1
51,B.Tech,68,8,3,5,88.64,1
44,B.Tech,82,12,4,27,98.9,1
48,BBA,85,1,1,18,73.04,1
49,M.Tech,24,4,11,4,50.07,0
49,MBA,56,10,8,26,55.13,1
61,MSC,73,0,0,23,79.31,1
48,MBA,10,6,4,13,74.93,0
46,MBA,30,13,4,9,50.49,0
35,M.Tech,69,9,13,29,54.25,1
60,PhD,74,12,6,9,76.66,1
35,B.Tech,44,6,7,9,73.38,1
62,M.Tech,99,16,7,12,67.65,1
46,MBA,87,10,10,1,51.14,1
61,BBA,66,6,2,13,78.68,1
